genomeID,difference count,iterations,,,,,,,,,,,,,,,,,,,,
GCA_000003645,0,[],,,,,,,,,,,,,,,,,,,,
GCA_000003925,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000003955,11,['12', '7', '2', '3', '2', '3', '1', '4', '1', '2', '0'],,,,,,,,,,
GCA_000013665,10,['8', '3', '2', '2', '3', '4', '3', '2', '1', '0'],,,,,,,,,,,
GCA_000013685,4,['8', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013705,6,['9', '8', '6', '4', '3', '0'],,,,,,,,,,,,,,,
GCA_000013745,4,['6', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000013765,6,['9', '7', '3', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000013785,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000013805,20,['6', '2', '1', '3', '3', '3', '2', '2', '2', '3', '3', '7', '10', '4', '1', '1', '1', '1', '1', '0'],
GCA_000013825,11,['9', '3', '4', '6', '6', '9', '4', '5', '2', '1', '0'],,,,,,,,,,
GCA_000013865,3,['6', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000013885,4,['11', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000013905,15,['10', '4', '2', '2', '3', '3', '2', '3', '3', '2', '1', '1', '1', '1', '0'],,,,,,
GCA_000013925,21,['9', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000013945,5,['9', '7', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000013965,6,['6', '11', '7', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000013985,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000014005,3,['10', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000014025,5,['3', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000014045,6,['8', '4', '6', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000014065,3,['6', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000014085,6,['9', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000014105,11,['5', '2', '2', '4', '5', '6', '4', '5', '2', '1', '0'],,,,,,,,,,
GCA_000014125,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000014145,5,['11', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000014165,5,['8', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000014185,7,['7', '7', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000014205,4,['13', '4', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000014225,3,['6', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000014245,5,['11', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000014265,7,['7', '2', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000014285,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000014305,5,['5', '4', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000014325,6,['8', '3', '2', '3', '2', '0'],,,,,,,,,,,,,,,
GCA_000014345,3,['4', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000014365,4,['12', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000014385,6,['7', '4', '2', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000014405,7,['9', '7', '8', '8', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000014425,6,['7', '4', '3', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000014445,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000014465,5,['6', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000014485,18,['7', '3', '1', '2', '1', '3', '3', '4', '2', '1', '2', '3', '3', '1', '1', '1', '1', '0'],,,
GCA_000014505,4,['7', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000014525,14,['9', '5', '4', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0'],,,,,,,
GCA_000014545,4,['12', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000014565,9,['8', '6', '2', '3', '1', '3', '7', '3', '0'],,,,,,,,,,,,
GCA_000014585,4,['11', '3', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000014605,2,['2', '0'],,,,,,,,,,,,,,,,,,,
GCA_000014625,7,['8', '3', '2', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000014645,3,['6', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000014665,4,['11', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000014685,7,['7', '3', '2', '3', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000014705,7,['8', '2', '1', '2', '1', '2', '0'],,,,,,,,,,,,,,
GCA_000014725,3,['13', '5', '0'],,,,,,,,,,,,,,,,,,
GCA_000014745,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000014765,6,['11', '8', '5', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000014785,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000014805,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000014825,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000014845,5,['12', '10', '12', '3', '0'],,,,,,,,,,,,,,,,
GCA_000014865,9,['6', '4', '3', '4', '4', '10', '7', '3', '0'],,,,,,,,,,,,
GCA_000014885,6,['9', '4', '5', '5', '1', '0'],,,,,,,,,,,,,,,
GCA_000014905,10,['13', '9', '4', '2', '1', '2', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000014925,3,['8', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000014965,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000014985,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000015005,3,['8', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000015025,5,['11', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015045,4,['6', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000015065,4,['9', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000015085,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000015105,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000015125,5,['8', '3', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015165,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000015185,3,['11', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000015245,9,['8', '3', '6', '5', '3', '4', '3', '2', '0'],,,,,,,,,,,,
GCA_000015265,6,['6', '4', '3', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000015285,3,['11', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000015305,5,['7', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015325,21,['3', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000015345,5,['7', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015365,21,['11', '5', '3', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000015385,5,['6', '2', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000015405,21,['10', '3', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000015425,9,['4', '4', '1', '4', '7', '5', '2', '2', '0'],,,,,,,,,,,,
GCA_000015445,4,['4', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000015465,6,['10', '4', '1', '1', '2', '0'],,,,,,,,,,,,,,,
GCA_000015485,3,['7', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000015505,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000015525,4,['3', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000015545,5,['7', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015565,4,['6', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000015585,4,['4', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000015605,4,['11', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000015625,5,['13', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015645,7,['3', '3', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000015665,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000015685,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000015705,15,['5', '2', '2', '6', '4', '2', '2', '1', '3', '3', '16', '5', '2', '1', '0'],,,,,,
GCA_000015725,5,['7', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015745,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000015785,8,['11', '6', '9', '10', '7', '3', '1', '0'],,,,,,,,,,,,,
GCA_000015845,5,['4', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015865,5,['10', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000015885,7,['5', '2', '1', '4', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000015905,5,['10', '2', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000015925,3,['13', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000015965,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000015985,6,['8', '4', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000016005,4,['9', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016045,13,['6', '7', '6', '4', '5', '5', '5', '10', '8', '4', '1', '1', '0'],,,,,,,,
GCA_000016065,4,['7', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016085,8,['10', '7', '6', '11', '5', '2', '1', '0'],,,,,,,,,,,,,
GCA_000016105,3,['2', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000016145,4,['10', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016165,3,['12', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000016185,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000016205,5,['9', '3', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000016245,10,['8', '5', '3', '5', '9', '11', '4', '1', '1', '0'],,,,,,,,,,,
GCA_000016265,5,['8', '5', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000016285,5,['6', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000016305,3,['7', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000016325,11,['8', '6', '4', '5', '5', '5', '3', '2', '1', '1', '0'],,,,,,,,,,
GCA_000016345,3,['12', '5', '0'],,,,,,,,,,,,,,,,,,
GCA_000016365,4,['7', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000016405,4,['5', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016425,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016445,9,['7', '6', '5', '8', '5', '6', '2', '1', '0'],,,,,,,,,,,,
GCA_000016465,7,['6', '2', '3', '4', '2', '3', '0'],,,,,,,,,,,,,,
GCA_000016485,4,['7', '4', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000016505,4,['7', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016545,4,['6', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000016565,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000016585,7,['10', '5', '3', '4', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000016625,5,['5', '2', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000016645,6,['7', '2', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000016665,8,['10', '5', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000016685,5,['7', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000016705,3,['7', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000016725,9,['4', '1', '1', '2', '3', '5', '3', '1', '0'],,,,,,,,,,,,
GCA_000016745,7,['14', '11', '3', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000016765,5,['3', '2', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000016785,4,['4', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000016805,4,['3', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000016825,8,['10', '6', '4', '2', '2', '3', '1', '0'],,,,,,,,,,,,,
GCA_000016845,4,['10', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000016865,5,['5', '1', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000016885,12,['13', '2', '8', '5', '2', '1', '1', '5', '8', '4', '3', '0'],,,,,,,,,
GCA_000016905,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000016925,3,['3', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000016945,6,['11', '8', '7', '3', '4', '0'],,,,,,,,,,,,,,,
GCA_000016965,3,['11', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000016985,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017005,5,['10', '4', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000017025,6,['5', '1', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000017045,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017065,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000017085,5,['5', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000017105,2,['3', '0'],,,,,,,,,,,,,,,,,,,
GCA_000017125,6,['4', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000017145,6,['10', '7', '4', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000017205,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000017245,11,['7', '3', '5', '6', '8', '8', '5', '2', '1', '1', '0'],,,,,,,,,,
GCA_000017265,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000017285,4,['13', '6', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000017305,10,['6', '1', '3', '3', '5', '5', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000017325,4,['7', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017405,7,['9', '4', '2', '2', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000017425,4,['10', '4', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000017445,5,['6', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000017465,5,['10', '15', '8', '2', '0'],,,,,,,,,,,,,,,,
GCA_000017485,8,['3', '1', '1', '1', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000017505,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017525,2,['1', '0'],,,,,,,,,,,,,,,,,,,
GCA_000017545,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000017565,5,['9', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000017585,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017605,5,['7', '5', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000017645,5,['6', '2', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000017665,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000017685,4,['10', '5', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000017705,12,['9', '8', '10', '12', '5', '2', '2', '1', '1', '3', '1', '0'],,,,,,,,,
GCA_000017725,4,['14', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017745,8,['8', '8', '12', '3', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000017765,5,['11', '11', '10', '3', '0'],,,,,,,,,,,,,,,,
GCA_000017785,3,['1', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000017805,5,['11', '7', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000017825,4,['14', '7', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000017845,4,['8', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000017865,4,['5', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000017885,21,['11', '3', '13', '3', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1', '2', '1', '1', '1']
GCA_000017905,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000017965,3,['10', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000017985,6,['9', '11', '9', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000018005,3,['8', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000018025,10,['15', '8', '2', '1', '1', '1', '2', '1', '1', '0'],,,,,,,,,,,
GCA_000018045,12,['6', '4', '6', '2', '3', '3', '3', '5', '2', '1', '1', '0'],,,,,,,,,
GCA_000018065,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000018085,6,['11', '5', '2', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000018105,6,['14', '11', '10', '5', '2', '0'],,,,,,,,,,,,,,,
GCA_000018125,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018145,9,['8', '3', '3', '5', '2', '3', '2', '1', '0'],,,,,,,,,,,,
GCA_000018185,8,['11', '6', '5', '3', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000018205,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018225,5,['5', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000018245,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018265,4,['6', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000018285,5,['11', '7', '3', '1', '0'],,,,,,,,,,,,,,,,
GCA_000018325,3,['4', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000018345,5,['9', '2', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000018385,6,['6', '5', '5', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000018405,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000018425,4,['5', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018445,7,['10', '4', '6', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000018505,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018525,5,['10', '4', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000018545,4,['8', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018565,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000018585,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000018605,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000018625,3,['4', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000018665,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000018685,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000018705,11,['5', '2', '3', '4', '7', '10', '6', '4', '1', '1', '0'],,,,,,,,,,
GCA_000018725,4,['7', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018745,4,['8', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018765,4,['11', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000018785,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000018805,8,['11', '3', '4', '6', '10', '7', '2', '0'],,,,,,,,,,,,,
GCA_000018825,9,['6', '2', '2', '1', '1', '2', '2', '1', '0'],,,,,,,,,,,,
GCA_000018845,2,['6', '0'],,,,,,,,,,,,,,,,,,,
GCA_000018865,6,['9', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000018885,9,['10', '5', '2', '2', '2', '4', '1', '1', '0'],,,,,,,,,,,,
GCA_000018905,8,['12', '4', '2', '2', '1', '1', '1', '0'],,,,,,,,,,,,,
GCA_000018925,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000018945,5,['6', '2', '1', '2', '0'],,,,,,,,,,,,,,,,
GCA_000018965,4,['15', '3', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000018985,5,['15', '8', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000019005,4,['10', '5', '4', '0'],,,,,,,,,,,,,,,,,
GCA_000019025,4,['12', '6', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000019045,6,['4', '3', '2', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000019065,4,['2', '2', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000019085,3,['3', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000019125,6,['4', '5', '2', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000019145,4,['5', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000019165,5,['10', '6', '5', '2', '0'],,,,,,,,,,,,,,,,
GCA_000019185,5,['9', '12', '5', '1', '0'],,,,,,,,,,,,,,,,
GCA_000019205,2,['5', '0'],,,,,,,,,,,,,,,,,,,
GCA_000019225,5,['11', '13', '13', '5', '0'],,,,,,,,,,,,,,,,
GCA_000019245,5,['10', '4', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000019265,3,['11', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000019285,6,['5', '2', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000019305,5,['7', '4', '4', '1', '0'],,,,,,,,,,,,,,,,
GCA_000019325,3,['11', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000019345,6,['8', '1', '1', '2', '2', '0'],,,,,,,,,,,,,,,
GCA_000019365,15,['5', '4', '5', '2', '2', '1', '2', '1', '1', '2', '2', '2', '2', '1', '0'],,,,,,
GCA_000019385,5,['9', '13', '7', '2', '0'],,,,,,,,,,,,,,,,
GCA_000019405,4,['13', '6', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000019425,4,['14', '11', '3', '0'],,,,,,,,,,,,,,,,,
GCA_000019445,3,['6', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000019465,9,['7', '5', '4', '7', '11', '10', '5', '1', '0'],,,,,,,,,,,,
GCA_000019485,8,['5', '1', '1', '2', '2', '2', '1', '0'],,,,,,,,,,,,,
GCA_000019505,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000019525,7,['11', '3', '1', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000019545,6,['8', '4', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000019565,4,['7', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000019585,3,['7', '4', '0'],,,,,,,,,,,,,,,,,,
GCA_000019625,3,['5', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000019645,7,['8', '8', '11', '6', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000019665,5,['10', '4', '2', '2', '0'],,,,,,,,,,,,,,,,
GCA_000019685,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000019705,4,['8', '4', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000019725,4,['6', '2', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000019745,6,['8', '8', '4', '4', '1', '0'],,,,,,,,,,,,,,,
GCA_000019765,4,['12', '10', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000019785,3,['5', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000019825,3,['8', '1', '0'],,,,,,,,,,,,,,,,,,
GCA_000019845,6,['11', '1', '2', '1', '2', '0'],,,,,,,,,,,,,,,
GCA_000019865,6,['10', '3', '1', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000019885,10,['4', '3', '7', '7', '2', '1', '1', '1', '1', '0'],,,,,,,,,,,
GCA_000019905,5,['7', '4', '3', '2', '0'],,,,,,,,,,,,,,,,
GCA_000019925,21,['7', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000019945,21,['9', '4', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']
GCA_000019965,5,['9', '5', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000019985,3,['9', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000020005,21,['9', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']
GCA_000020025,6,['11', '6', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000020045,5,['10', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000020065,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000020085,6,['13', '5', '11', '11', '4', '0'],,,,,,,,,,,,,,,
GCA_000020105,5,['9', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000020125,5,['11', '1', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000020145,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000020165,3,['7', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000020185,6,['7', '9', '12', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000020205,6,['11', '4', '1', '2', '1', '0'],,,,,,,,,,,,,,,
GCA_000020225,5,['9', '3', '2', '1', '0'],,,,,,,,,,,,,,,,
GCA_000020245,9,['4', '2', '2', '4', '5', '2', '1', '1', '0'],,,,,,,,,,,,
GCA_000020265,4,['7', '5', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000020285,8,['7', '1', '1', '1', '2', '1', '1', '0'],,,,,,,,,,,,,
GCA_000020305,5,['14', '6', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000020325,2,['4', '0'],,,,,,,,,,,,,,,,,,,
GCA_000020345,6,['6', '4', '2', '3', '1', '0'],,,,,,,,,,,,,,,
GCA_000020365,5,['10', '3', '1', '1', '0'],,,,,,,,,,,,,,,,
GCA_000020385,4,['6', '3', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000020405,7,['8', '6', '2', '1', '2', '1', '0'],,,,,,,,,,,,,,
GCA_000020425,7,['8', '9', '3', '2', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000020445,3,['11', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000020465,5,['10', '7', '8', '3', '0'],,,,,,,,,,,,,,,,
GCA_000020485,3,['10', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000020505,6,['14', '4', '3', '1', '1', '0'],,,,,,,,,,,,,,,
GCA_000020525,5,['7', '10', '12', '2', '0'],,,,,,,,,,,,,,,,
GCA_000020545,11,['11', '3', '2', '6', '5', '7', '8', '10', '8', '2', '0'],,,,,,,,,,
GCA_000020565,4,['3', '4', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000020585,4,['3', '1', '1', '0'],,,,,,,,,,,,,,,,,
GCA_000020605,3,['11', '3', '0'],,,,,,,,,,,,,,,,,,
GCA_000020625,7,['8', '6', '2', '3', '1', '1', '0'],,,,,,,,,,,,,,
GCA_000020645,4,['16', '5', '2', '0'],,,,,,,,,,,,,,,,,
GCA_000020665,6,['6', '3', '2', '2', '2', '0'],,,,,,,,,,,,,,,
GCA_000020685,3,['6', '2', '0'],,,,,,,,,,,,,,,,,,
GCA_000020705,12,['5', '1', '2', '2', '6', '9', '9', '6', '1', '1', '1', '0'],,,,,,,,,
